================================================================================
カクテル材料の詳細分析結果
================================================================================
総カクテル数: 616
ユニークな材料数: 782
総材料使用回数: 2815
================================================================================

【スピリッツ】 (99種類)
------------------------------------------------------------
  ジン                              98回 (3.5%)
  ウォッカ                            66回 (2.3%)
  テキーラ                            24回 (0.9%)
  ホワイトラム                          23回 (0.8%)
  ブランデー                           23回 (0.8%)
  ウイスキー                           21回 (0.7%)
  ラム                              19回 (0.7%)
  ダークラム                           18回 (0.6%)
  カシャーサ                           13回 (0.5%)
  ジン 60ml                         13回 (0.5%)
  バーボンウイスキー                       12回 (0.4%)
  コニャック                           12回 (0.4%)
  ライウイスキー                         11回 (0.4%)
  スコッチウイスキー                       10回 (0.4%)
  ジンジャーエール                        10回 (0.4%)
  ジン 30ml                         10回 (0.4%)
  ジンジャービア                          9回 (0.3%)
  白ラム                              8回 (0.3%)
  コニャック 45ml                       8回 (0.3%)
  ジン 45ml                          7回 (0.2%)
  コニャック 50ml                       7回 (0.2%)
  ライウイスキー 60ml                     7回 (0.2%)
  アプリコットブランデー                      6回 (0.2%)
  ジンジャー                            6回 (0.2%)
  ウォッカ 45ml                        6回 (0.2%)
  プレミアムウォッカ                        5回 (0.2%)
  テキーラ・ブランコ 45ml                   5回 (0.2%)
  ジン 50ml                          5回 (0.2%)
  ゴールドラム                           4回 (0.1%)
  アップルブランデー                        4回 (0.1%)
  チェリーブランデー                        3回 (0.1%)
  ジャパニーズウイスキー                      3回 (0.1%)
  コニャック 60ml                       3回 (0.1%)
  ホワイトラム 60ml                      3回 (0.1%)
  ホワイトラム 30ml                      3回 (0.1%)
  アイラウイスキー                         2回 (0.1%)
  151プルーフラム                        2回 (0.1%)
  ココナッツラム                          2回 (0.1%)
  スパイスラム                           2回 (0.1%)
  プレミアムジン                          2回 (0.1%)
  アイリッシュウイスキー                      2回 (0.1%)
  テキーラ・アネホ 60ml                    2回 (0.1%)
  ブランデー 15ml                       2回 (0.1%)
  プラムスライス                          2回 (0.1%)
  コニャック 30ml                       2回 (0.1%)
  ウォッカ 60ml                        2回 (0.1%)
  ウォッカ 15ml                        2回 (0.1%)
  ダークラム 30ml                       2回 (0.1%)
  スコッチウイスキー 60ml                   2回 (0.1%)
  コニャック 40ml                       2回 (0.1%)
  バニラウォッカ                          1回 (0.0%)
  ファレラム                            1回 (0.0%)
  ストーンズジンジャーワイン                    1回 (0.0%)
  シナモンウイスキー                        1回 (0.0%)
  ジンジャーシロップ                        1回 (0.0%)
  レイキャビク・ジン                        1回 (0.0%)
  ロープルーフジン                         1回 (0.0%)
  ビスケットクラム                         1回 (0.0%)
  ライトラム                            1回 (0.0%)
  ガラムマサラ                           1回 (0.0%)
  クッキークラム                          1回 (0.0%)
  ジンセン                             1回 (0.0%)
  50年物のブランデー                       1回 (0.0%)
  シルバーテキーラ                         1回 (0.0%)
  プレミアムジンジャービア                     1回 (0.0%)
  ジャマイカンラム                         1回 (0.0%)
  ジャマイカンジンジャー                      1回 (0.0%)
  プレミアムラム                          1回 (0.0%)
  ハチミツジンジャーシロップ                    1回 (0.0%)
  キャンダイドジンジャー                      1回 (0.0%)
  テキーラ・ブランコ 60ml                   1回 (0.0%)
  テキーラ・ブランコ 30ml                   1回 (0.0%)
  テキーラ・ブランコ 50ml                   1回 (0.0%)
  ラム 45ml                          1回 (0.0%)
  ブランデー 20ml                       1回 (0.0%)
  アップルブランデー 30ml                   1回 (0.0%)
  バーボンウイスキー 60ml                   1回 (0.0%)
  ピアブランデー 60ml                     1回 (0.0%)
  ブランデー 45ml                       1回 (0.0%)
  プラムリキュール 15ml                    1回 (0.0%)
  ダークラム 45ml                       1回 (0.0%)
  ウォッカ 30ml                        1回 (0.0%)
  ラム 15ml                          1回 (0.0%)
  ジン 15ml                          1回 (0.0%)
  テキーラ 15ml                        1回 (0.0%)
  アプリコットブランデー 30ml                 1回 (0.0%)
  ジン 22ml                          1回 (0.0%)
  スコッチウイスキー 45ml                   1回 (0.0%)
  スコッチウイスキー 10ml                   1回 (0.0%)
  ジン 75ml                          1回 (0.0%)
  ライウイスキー 50ml                     1回 (0.0%)
  ジン 40ml                          1回 (0.0%)
  アップルブランデー 25ml                   1回 (0.0%)
  プラムブランデー 25ml                    1回 (0.0%)
  ジン 25ml                          1回 (0.0%)
  ピアブランデー 20ml                     1回 (0.0%)
  ジンジャーエール 120ml                   1回 (0.0%)
  アップルウイスキー 60ml                   1回 (0.0%)
  ピアブランデー 30ml                     1回 (0.0%)

【リキュール】 (135種類)
------------------------------------------------------------
  グレナデンシロップ                       28回 (1.0%)
  シンプルシロップ                        23回 (0.8%)
  スイートベルモット                       20回 (0.7%)
  ドライベルモット                        20回 (0.7%)
  トリプルセック                         19回 (0.7%)
  シュガーシロップ                        15回 (0.5%)
  アマレット                           12回 (0.4%)
  アブサン                            12回 (0.4%)
  シンプルシロップ 15ml                   12回 (0.4%)
  アペロール                           11回 (0.4%)
  シンプルシロップ 10ml                   10回 (0.4%)
  スイートベルモット 30ml                  10回 (0.4%)
  マラスキーノリキュール                      9回 (0.3%)
  シンプルシロップ 20ml                    9回 (0.3%)
  コーヒーリキュール                        8回 (0.3%)
  オルジェシロップ                         8回 (0.3%)
  アガベシロップ                          8回 (0.3%)
  ピーチリキュール                         7回 (0.2%)
  オレンジキュラソー                        6回 (0.2%)
  バニラシロップ                          6回 (0.2%)
  グランマルニエ                          6回 (0.2%)
  ブルーキュラソー                         5回 (0.2%)
  チョコレートリキュール                      5回 (0.2%)
  ライチリキュール                         5回 (0.2%)
  ラベンダーシロップ                        5回 (0.2%)
  マラスキーノリキュール 15ml                 5回 (0.2%)
  ドライベルモット 10ml                    5回 (0.2%)
  バナナリキュール                         4回 (0.1%)
  ブラックベリーリキュール                     4回 (0.1%)
  アプリコットリキュール                      4回 (0.1%)
  シャンボール                           4回 (0.1%)
  シナモンシロップ                         4回 (0.1%)
  メープルシロップ                         4回 (0.1%)
  エルダーフラワーシロップ                     4回 (0.1%)
  トリプルセック 20ml                     4回 (0.1%)
  スイートベルモット 15ml                   4回 (0.1%)
  エルダーフラワーリキュール                    3回 (0.1%)
  ストロベリーリキュール                      3回 (0.1%)
  ドライベルモット 15ml                    3回 (0.1%)
  アペロール 30ml                       3回 (0.1%)
  グレナディンシロップ 15ml                  3回 (0.1%)
  パッションフルーツシロップ                    2回 (0.1%)
  桜リキュール                           2回 (0.1%)
  抹茶シロップ                           2回 (0.1%)
  カルーア                             2回 (0.1%)
  ココナッツリキュール                       2回 (0.1%)
  タマリンドシロップ                        2回 (0.1%)
  キャラメルシロップ                        2回 (0.1%)
  ユズリキュール                          2回 (0.1%)
  ラズベリーシロップ                        2回 (0.1%)
  グレナディンシロップ 10ml                  2回 (0.1%)
  グランマニエ 20ml                      2回 (0.1%)
  グレナディンシロップ 5ml                   2回 (0.1%)
  トリプルセック 15ml                     2回 (0.1%)
  キュラソー 5ml                        2回 (0.1%)
  マラスキーノリキュール 5ml                  2回 (0.1%)
  スイートベルモット 10ml                   2回 (0.1%)
  アペロール 22ml                       2回 (0.1%)
  ドライベルモット 5ml                     2回 (0.1%)
  スイートベルモット 25ml                   2回 (0.1%)
  パイナップルシロップ                       1回 (0.0%)
  ハニーシロップ                          1回 (0.0%)
  ケーンシュガーシロップ                      1回 (0.0%)
  ホワイトチョコレートリキュール                  1回 (0.0%)
  バジルリキュール                         1回 (0.0%)
  カーヴス・チョコレートリキュール                 1回 (0.0%)
  ローズリキュール                         1回 (0.0%)
  パステルリキュール                        1回 (0.0%)
  ベルモット                            1回 (0.0%)
  パンダンシロップ                         1回 (0.0%)
  クラウドベリーリキュール                     1回 (0.0%)
  白樺シロップ                           1回 (0.0%)
  エルダーベリーリキュール                     1回 (0.0%)
  スプルースチップシロップ                     1回 (0.0%)
  シーバックソーンリキュール                    1回 (0.0%)
  ジュニパーベリーシロップ                     1回 (0.0%)
  松の実シロップ                          1回 (0.0%)
  ユーカリシロップ                         1回 (0.0%)
  ヘーゼルナッツリキュール                     1回 (0.0%)
  アップルリキュール                        1回 (0.0%)
  バニラリキュール                         1回 (0.0%)
  クレーム・ブリュレシロップ                    1回 (0.0%)
  ピーカンシロップ                         1回 (0.0%)
  マンゴーリキュール                        1回 (0.0%)
  抜茶シロップ                           1回 (0.0%)
  カシスリキュール                         1回 (0.0%)
  カキのシロップ                          1回 (0.0%)
  ジャスミンシロップ                        1回 (0.0%)
  カラメルシロップ                         1回 (0.0%)
  アーモンドシロップ                        1回 (0.0%)
  チョコレートシロップ                       1回 (0.0%)
  ザクロシロップ                          1回 (0.0%)
  ユズシロップ                           1回 (0.0%)
  エンジェルティア                         1回 (0.0%)
  ユニコーンティア                         1回 (0.0%)
  ノスタルジアシロップ                       1回 (0.0%)
  アガベシロップ 10ml                     1回 (0.0%)
  アペロール 60ml                       1回 (0.0%)
  ピーチリキュール 15ml                    1回 (0.0%)
  マラスキーノリキュール 10ml                 1回 (0.0%)
  ミントシロップ 10ml                     1回 (0.0%)
  アマレット 60ml                       1回 (0.0%)
  ブラックベリーリキュール 15ml                1回 (0.0%)
  カシスリキュール 15ml                    1回 (0.0%)
  カルーア 20ml                        1回 (0.0%)
  カルーア 45ml                        1回 (0.0%)
  フランボワーズリキュール 15ml                1回 (0.0%)
  アマレット 45ml                       1回 (0.0%)
  アマレット 30ml                       1回 (0.0%)
  カルーア 30ml                        1回 (0.0%)
  バナナリキュール 15ml                    1回 (0.0%)
  ブルーキュラソー 15ml                    1回 (0.0%)
  パッションフルーツシロップ 30ml               1回 (0.0%)
  オレンジキュラソー 15ml                   1回 (0.0%)
  アーモンドシロップ 15ml                   1回 (0.0%)
  シュガーシロップ 5ml                     1回 (0.0%)
  トリプルセック 30ml                     1回 (0.0%)
  アブサン 1ダッシュ                       1回 (0.0%)
  マラスキーノリキュール 22ml                 1回 (0.0%)
  スイートベルモット 45ml                   1回 (0.0%)
  グランマニエ 5ml                       1回 (0.0%)
  ライチョコリキュール 15ml                  1回 (0.0%)
  ドライベルモット 7.5ml                   1回 (0.0%)
  スイートベルモット 7.5ml                  1回 (0.0%)
  ドライベルモット 2.5ml                   1回 (0.0%)
  ドライベルモット 30ml                    1回 (0.0%)
  スイートベルモット 20ml                   1回 (0.0%)
  ブルーキュラソー 10ml                    1回 (0.0%)
  アマレット 10ml                       1回 (0.0%)
  グランマニエ 25ml                      1回 (0.0%)
  フランボワーズリキュール 25ml                1回 (0.0%)
  ライチシロップ 15ml                     1回 (0.0%)
  ラベンダーシロップ 20ml                   1回 (0.0%)
  エルダーフラワーリキュール 20ml               1回 (0.0%)
  シンプルシロップ 5ml                     1回 (0.0%)

【ソフトドリンク】 (88種類)
------------------------------------------------------------
  ライムジュース                        136回 (4.8%)
  レモンジュース                        114回 (4.0%)
  ソーダ水                            50回 (1.8%)
  シャンパン                           33回 (1.2%)
  オレンジジュース                        27回 (1.0%)
  パイナップルジュース                      22回 (0.8%)
  レモンジュース 25ml                    20回 (0.7%)
  クランベリージュース                      14回 (0.5%)
  プロセッコ                           13回 (0.5%)
  グレープフルーツジュース                    12回 (0.4%)
  レモンジュース 15ml                    12回 (0.4%)
  ローズウォーター                         6回 (0.2%)
  ココナッツウォーター                       6回 (0.2%)
  ユズジュース                           6回 (0.2%)
  ライムジュース 15ml                     6回 (0.2%)
  シャンパン 90ml                       6回 (0.2%)
  レモンジュース 20ml                     6回 (0.2%)
  コーラ                              5回 (0.2%)
  パイナップルジュース 60ml                  5回 (0.2%)
  ライムジュース 20ml                     5回 (0.2%)
  レモンジュース 5ml                      5回 (0.2%)
  アップルジュース                         4回 (0.1%)
  マンゴージュース                         4回 (0.1%)
  ライムジュース 30ml                     4回 (0.1%)
  ソーダウォーター 60ml                    4回 (0.1%)
  トニックウォーター                        3回 (0.1%)
  トマトジュース                          3回 (0.1%)
  赤ワイン                             3回 (0.1%)
  白ワイン                             3回 (0.1%)
  オレンジジュース 30ml                    3回 (0.1%)
  ライムジュース 25ml                     3回 (0.1%)
  シャンパン 120ml                      3回 (0.1%)
  プロセッコ 90ml                       3回 (0.1%)
  ソーダウォーター 少量                      3回 (0.1%)
  レモンジュース 30ml                     3回 (0.1%)
  ポートワイン                           2回 (0.1%)
  スイカジュース                          2回 (0.1%)
  パッションフルーツジュース                    2回 (0.1%)
  ロゼワイン                            2回 (0.1%)
  ライムジュース 10ml                     2回 (0.1%)
  ソーダウォーター 90ml                    2回 (0.1%)
  クランベリージュース 30ml                  2回 (0.1%)
  ライムジュース 22ml                     2回 (0.1%)
  シャンパン 30ml                       2回 (0.1%)
  ローズウォーター 10ml                    2回 (0.1%)
  ギネスビール                           1回 (0.0%)
  マデイラワイン                          1回 (0.0%)
  ポメグラネイトジュース                      1回 (0.0%)
  ピーチジュース                          1回 (0.0%)
  ラガービール                           1回 (0.0%)
  フルーツジュース                         1回 (0.0%)
  ピクルスジュース                         1回 (0.0%)
  ライチジュース                          1回 (0.0%)
  スパークリングウォーター                     1回 (0.0%)
  オレンジブロッサムウォーター                   1回 (0.0%)
  ビーツジュース                          1回 (0.0%)
  アロエジュース                          1回 (0.0%)
  ローズシャンパン                         1回 (0.0%)
  キムチジュース                          1回 (0.0%)
  ミソジュース                           1回 (0.0%)
  キュウリウォーター                        1回 (0.0%)
  コーラナッツ                           1回 (0.0%)
  ローズライムジュース                       1回 (0.0%)
  プレミアムトニックウォーター                   1回 (0.0%)
  プレミアムトマトジュース                     1回 (0.0%)
  プレミアムクランベリージュース                  1回 (0.0%)
  ピンクグレープフルーツジュース                  1回 (0.0%)
  プレミアムコーラ                         1回 (0.0%)
  プライムソーダ                          1回 (0.0%)
  ホットウォーター                         1回 (0.0%)
  トマトジュース 90ml                     1回 (0.0%)
  オレンジジュース 90ml                    1回 (0.0%)
  プロセッコ 120ml                      1回 (0.0%)
  シャンパン 60ml                       1回 (0.0%)
  レモンジュース 10ml                     1回 (0.0%)
  パイナップルジュース 90ml                  1回 (0.0%)
  クランベリージュース 60ml                  1回 (0.0%)
  コーラ 90ml                         1回 (0.0%)
  トマトジュース 120ml                    1回 (0.0%)
  クランベリージュース 120ml                 1回 (0.0%)
  ポートワイン 20ml                      1回 (0.0%)
  ローズウォーター 2ダッシュ                   1回 (0.0%)
  赤ワイン 15ml                        1回 (0.0%)
  フレッシュライムジュース 15ml                1回 (0.0%)
  グレープフルーツジュース 30ml                1回 (0.0%)
  レモンジュース 22ml                     1回 (0.0%)
  フレッシュグレープフルーツジュース 30ml           1回 (0.0%)
  アップルジュース 30ml                    1回 (0.0%)

【フルーツ】 (62種類)
------------------------------------------------------------
  オレンジツイスト                        20回 (0.7%)
  レモンツイスト                         20回 (0.7%)
  マラスキーノチェリー                      17回 (0.6%)
  ライムホイール                         15回 (0.5%)
  オレンジピール                         13回 (0.5%)
  ライムウェッジ                         12回 (0.4%)
  オレンジスライス                        11回 (0.4%)
  レモンピール                          10回 (0.4%)
  ライム                              8回 (0.3%)
  オレンジビターズ                         8回 (0.3%)
  ストロベリー                           8回 (0.3%)
  オレンジビターズ 2ダッシュ                   6回 (0.2%)
  アップルスライス                         6回 (0.2%)
  ブルーベリー                           5回 (0.2%)
  ラズベリー                            5回 (0.2%)
  レモンスライス                          5回 (0.2%)
  ピーチスライス                          5回 (0.2%)
  アップルジャック                         4回 (0.1%)
  レモン                              4回 (0.1%)
  レモングラス                           4回 (0.1%)
  ピーチピュレ                           3回 (0.1%)
  ユズピール                            3回 (0.1%)
  グレープフルーツピール                      3回 (0.1%)
  ライムピール                           3回 (0.1%)
  パイナップルウェッジ                       3回 (0.1%)
  レモンウェッジ                          3回 (0.1%)
  パイナップルチャンク                       3回 (0.1%)
  アーモンドスライス                        3回 (0.1%)
  ピアスライス                           3回 (0.1%)
  パイナップル                           2回 (0.1%)
  レモンカード                           2回 (0.1%)
  バナナ                              2回 (0.1%)
  レモンマートル                          2回 (0.1%)
  チェリー                             2回 (0.1%)
  ゴジベリー                            2回 (0.1%)
  グレープフルーツウェッジ                     2回 (0.1%)
  オレンジホイール                         2回 (0.1%)
  ラズベリー 3粒                         2回 (0.1%)
  ピーチシュナップス 30ml                   2回 (0.1%)
  ピーチビターズ 2ダッシュ                    2回 (0.1%)
  オレンジビターズ 1ダッシュ                   2回 (0.1%)
  オレンジ                             1回 (0.0%)
  アップルサイダー                         1回 (0.0%)
  ジュニパーベリー                         1回 (0.0%)
  ミックスベリー                          1回 (0.0%)
  レモンタイム                           1回 (0.0%)
  ピンクグレープフルーツ                      1回 (0.0%)
  ゴールデンアップル                        1回 (0.0%)
  クランベリー                           1回 (0.0%)
  ライムツイスト                          1回 (0.0%)
  ライムスライス                          1回 (0.0%)
  ピーチピューレ 30ml                     1回 (0.0%)
  クランベリー 3粒                        1回 (0.0%)
  レモンホイール                          1回 (0.0%)
  ブラックベリー 3粒                       1回 (0.0%)
  ピーチシュナップス 45ml                   1回 (0.0%)
  アップルシュナップス 30ml                  1回 (0.0%)
  ストロベリー 6個                        1回 (0.0%)
  パイナップルリーフ                        1回 (0.0%)
  オレンジシュガー                         1回 (0.0%)
  キューカンバースライス 4枚                   1回 (0.0%)
  フレッシュベリー                         1回 (0.0%)

【その他】 (68種類)
------------------------------------------------------------
  砂糖                              76回 (2.7%)
  ミント                             32回 (1.1%)
  アンゴスチュラビターズ                     31回 (1.1%)
  卵白                              28回 (1.0%)
  生クリーム                           25回 (0.9%)
  塩                               16回 (0.6%)
  蜂蜜                              15回 (0.5%)
  シナモン                            14回 (0.5%)
  卵白 1個                           14回 (0.5%)
  ココナッツクリーム                       12回 (0.4%)
  アンゴスチュラビターズ 2ダッシュ               11回 (0.4%)
  バジル                              9回 (0.3%)
  氷                                7回 (0.2%)
  タイム                              4回 (0.1%)
  ローズマリー                           4回 (0.1%)
  ホイップクリーム                         4回 (0.1%)
  シナモンスティック                        4回 (0.1%)
  ココナッツミルク                         3回 (0.1%)
  バニラ                              3回 (0.1%)
  バニラアイス                           3回 (0.1%)
  ヘビークリーム 30ml                     3回 (0.1%)
